Agency,Program or Activity ,Fiscal Year, Confirmed Fraud 
HHS,Centers for Medicare & Medicaid Services (CMS) - Medicaid,2021, $ -   
HHS,Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C),2021, $ -   
HHS,Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS),2021, $ -   
HHS,Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D),2021, $ -   
HHS,Centers for Medicare & Medicaid Services (CMS) Medicare Fee-for-Service (FFS) - Accelerated and Advance Payment Program,2021, $ -   
HHS,Centers for Medicare & Medicaid Services (CMS) Quality Activities  (Medicare Fee-for-Service),2021, $ -   
HHS,Food and Drug Administration (FDA) - Center for Biologics,2021, $ -   
HHS,Food and Drug Administration (FDA) - Center for Devices and Radiological Health,2021, $ -   
HHS,Food and Drug Administration (FDA) - GSA Rental Payments,2021, $ -   
HHS,Food and Drug Administration (FDA) - Human Drugs,2021, $ -   
HHS,Food and Drug Administration (FDA) - Other Rent and Rent Related Activities,2021, $ -   
HHS,Food and Drug Administration (FDA) - Working Capital Fund,2021, $ -   
HHS,Health and Human Services (HHS),2021," $ 2,880.00 "
HHS,Health Resources and Services Administration (HRSA) - Primary Health Care,2021, $ -   
HHS,Health Resources and Services Administration (HRSA) - Primary Health Care Health Centers and Free Clinics,2021, $ -   
HHS,Health Resources and Services Administration (HRSA) - Provider Relief Fund General and Targeted,2021, $ -   
HHS,Health Resources and Services Administration (HRSA) - Provider Relief Fund Uninsured,2021, $ -   
HHS,HHS,2018," $ 2,860.00 "
HHS,HHS Total,2017," $ 5,980.00 "
HHS,"Indian Health Service (IHS) Clinical Services - Testing, Tracing, Containment, Mitigation, and Related Activities (Transfer from Public Health Emergency and Social Services Emergency Fund) - Disaster Relief",2021, $ -   
HHS,"Indian Health Service (IHS) Testing, Contact Tracing, Monitoring, and Mitigation - Disaster Relief",2021, $ -   
HHS,National Institutes of Health (NIH) - National Cancer Institute,2021, $ -   
HHS,National Institutes of Health (NIH) Small Business Innovation Research,2021, $ -   
HHS,OASH Public Health Service Evaluation Set-Aside Program,2021, $ -   
HHS,ONC Integrating the Healthcare Enterprise USA,2021, $ -   
HHS,ONC Trusted Exchange Framework Common Agreement,2021, $ -   
HHS,SAMHSA Mental Health,2021, $ -   
HHS,SAMHSA Substance Abuse Treatment,2021, $ -   
HUD,Agency Wide,2022, $ -   
HUD,Agency Wide,2023, $ 30.52 
HUD,Agency Wide,2024, $ -   
HUD,ARRA Homelessness Prevention and Rapid Re-Housing Program,2019, $ 0.09 
HUD,ARRA Project Based Rental Assistance,2019, $ 0.05 
HUD,CDBG - Entitlement,2017, $ 1.35 
HUD,CDBG - Entitlement,2018, $ 0.16 
HUD,CDBG - Entitlement,2019, $ 0.49 
HUD,CDBG - Entitlement,2020, $ 0.10 
HUD,CDBG - Entitlement1,2018, $ 0.36 
HUD,CDBG Disaster Recovery Assistance,2017, $ 1.66 
HUD,CDBG Disaster Recovery Assistance,2019, $ 0.54 
HUD,CDBG Disaster Recovery Assistance,2020, $ 3.46 
HUD,CDBG Disaster Recovery Assistance1,2018, $ 0.30 
HUD,CDBG Non-Entitlement for States and Small Cities,2019, $ 0.08 
HUD,Community Planning and Development - American Recovery and Reinvestment Act of 2009 (ARRA) Community Development Fund,2021, $ -   
HUD,Community Planning and Development - Appalachian Regional Commission Projects,2021, $ -   
HUD,Community Planning and Development - Capacity Building,2021, $ -   
HUD,Community Planning and Development - Community Development Block Grant - Disaster Recovery Assistance - Sandy,2021, $ 0.86 
HUD,Community Planning and Development - Community Development Block Grants,2021, $ 0.36 
HUD,Community Planning and Development - Community Development Loan Guarantees- Section 108,2021, $ -   
HUD,Community Planning and Development - Congressional Earmarks - Economic Development Initiative - Special Projects/Neighborhood Initiatives,2021, $ -   
HUD,Community Planning and Development - Department of Transportation Surface Transportation Projects,2021, $ -   
HUD,"Community Planning and Development - Disaster Recovery Assistance (Louisiana, Texas, West Virginia, Hurricane IKE, Other Disasters)",2021, $ 0.19 
HUD,Community Planning and Development - Economic Development Initiative/Brownfields Redevelopment Economic Development Initiative,2021, $ -   
HUD,Community Planning and Development - HOME Investment Partnerships Program,2021, $ 0.09 
HUD,Community Planning and Development - Homeless Assistance Grants,2021, $ 0.67 
HUD,Community Planning and Development - Homeless Prevention Rapid Re-Housing,2021, $ -   
HUD,Community Planning and Development - Housing Opportunities for Persons with AIDS,2021, $ -   
HUD,Community Planning and Development - Housing Trust Fund,2021, $ -   
HUD,Community Planning and Development - Nehemiah Housing Opportunity Grants,2021, $ -   
HUD,Community Planning and Development - Neighborhood Initiatives Program,2021, $ -   
HUD,Community Planning and Development - Neighborhood Stabilization Program,2021, $ -   
HUD,Community Planning and Development - Project Based Section 8 (Renewal of Expiring Section 8 Mod Rehab Single Room Occupancy),2021, $ -   
HUD,"Community Planning and Development - Public Laws 115-123, 115-56, and 115-72",2021, $ -   
HUD,Community Planning and Development - Rural Housing and Economic Development,2021, $ -   
HUD,Community Planning and Development - Rural Innovation Fund,2021, $ -   
HUD,Community Planning and Development - Self-Help Homeownership Opportunity Program,2021, $ -   
HUD,Community Planning and Development - Sustainable Communities Initiative Program,2021, $ -   
HUD,Community Planning and Development - Veterans Housing Rehab Program,2021, $ -   
HUD,Competitive - ARRA Native American Housing Block Grant Program1,2018, $ 0.11 
HUD,Competitive EDI Grants,2019, $ -   
HUD,Disaster Recovery Assistance,2019, $ 2.37 
HUD,Disaster Recovery Assistance1,2018, $ 0.16 
HUD,Emergency Shelter Grants Program,2017, $ 0.08 
HUD,ESG Grants,2020, $ 0.08 
HUD,Fair Housing and Equal Opportunity - Fair Housing Assistance Program,2021, $ -   
HUD,Fair Housing and Equal Opportunity - Fair Housing Initiatives Program,2021, $ -   
HUD,Federal Housing Administration - Contracts/Grants (includes Single Family Upfront Grants),2021, $ -   
HUD,Federal Housing Administration - Federal Finance Bank Direct Loans,2021, $ -   
HUD,Federal Housing Administration - Home Equity Conversion Mortgage Claims,2021, $ 0.69 
HUD,Federal Housing Administration - Home Equity Conversion Mortgage Notes,2021, $ -   
HUD,Federal Housing Administration - Multi-Family Insurance Claims,2021, $ -   
HUD,Federal Housing Administration - Multi-Family Notes,2021, $ -   
HUD,Federal Housing Administration - Multi-Family Premium Refunds,2021, $ -   
HUD,Federal Housing Administration - Multi-Family Property,2021, $ -   
HUD,Federal Housing Administration - Other Disbursements,2021, $ -   
HUD,Federal Housing Administration - Single Family Claims,2021, $ 12.14 
HUD,Federal Housing Administration - Single Family Notes,2021, $ -   
HUD,Federal Housing Administration - Single Family Premium Refunds - Distributive Shares and Refund System,2021, $ -   
HUD,Federal Housing Administration - Single Family Property (Single Family Acquired Asset Management System),2021, $ 0.03 
HUD,Federal Housing Administration - Title I Claims,2021, $ -   
HUD,Federal Housing Administration - Title I Notes,2021, $ -   
HUD,FHA-Home Affordable Modification Program (FHA-HAMP),2019, $ -   
HUD,FHA-Home Affordable Modification Program (FHA-HAMP),2020, $ 2.60 
HUD,Ginnie Mae,2019, $ 0.11 
HUD,Ginnie Mae - Contractor Payments,2021, $ -   
HUD,Ginnie Mae - Master Sub-Servicer Default Activity,2021, $ -   
HUD,Ginnie Mae - Pass Through Assistance Program (PTAP),2021, $ -   
HUD,Ginnie Mae - Refunds Program,2021, $ -   
HUD,Ginnie Mae - Soldiers' and Sailors' Civil Relief Act Program Reimbursement and Multi-Family 1% Reimbursement Program,2021, $ -   
HUD,Ginnie Mae - Unclaimed Security Holder Payments,2021, $ -   
HUD,GNMA I,2020, $ 2.50 
HUD,Good Neighbor Next Door,2019, $ -   
HUD,Good Neighbor Next Door,2020, $ 0.05 
HUD,HECM - Section 255 Home Equity Conversion Mortgage Program,2017, $ 0.25 
HUD,HERA NSP1,2017, $ 0.05 
HUD,Home Equity Conversion Mortgage (HECM) (Section 255),2019, $ 0.00 
HUD,Home Equity Conversion Mortgage (HECM) (Section 255),2020, $ 1.05 
HUD,Home Equity Conversion Mortgage (HECM) (Section 255)1,2018, $ 1.14 
HUD,HOME Program: HOME Investment Partnerships,2017, $ 0.05 
HUD,Homeownership Voucher Program,2017, $ 0.02 
HUD,Homeownership Voucher Program,2019, $ 0.05 
HUD,Homeownership Voucher Program,2020, $ 0.11 
HUD,HOPE VI: Revitalization of Severely Distressed Public Housing,2020, $ 1.77 
HUD,HOPWA,2019, $ 0.32 
HUD,Housing - College Housing Debt Service Grants,2021, $ -   
HUD,Housing - Emergency Homeowners' Loan Program - Direct Loan Financing Account,2021, $ -   
HUD,Housing - Emergency Homeowners' Relief Fund,2021, $ -   
HUD,Housing - Energy Innovation Fund,2021, $ -   
HUD,Housing - Flexible Subsidy,2021, $ -   
HUD,Housing - Green Retrofit Program for Multi-Family Housing - Recovery Act,2021, $ -   
HUD,Housing - Housing Counseling Assistance,2021, $ -   
HUD,"Housing - Housing for Special Populations - Capital Advance portion of expenditures, Section 202",2021, $ -   
HUD,Housing - Housing for the Elderly or Handicapped - Direct Loan Liquidating Account - Section 202,2021, $ -   
HUD,Housing - Manufactured Housing,2021, $ -   
HUD,Housing - Multi-Family Upfront Grants - General Insurance and Special Risk Insurance Fund,2021, $ -   
HUD,Housing - Project-Based Rental Assistance Section 8 Moderate Rehabilitation,2021, $ -   
HUD,Housing - Rent Supplement,2021, $ -   
HUD,Housing - Rental Housing Assistance Program - Project Based Rental Assistance - Project Based Section 8 - Rental Housing Assistance Program - Section 236 -Housing for Persons with Disability - Section 811,2021, $ 0.23 
HUD,Housing - Rental Housing Assistance Program - Section 236,2021, $ -   
HUD,Housing - Section 811 Housing for Persons with Disabilities (Project Rental Assistance Contract and Capital Advance),2021, $ -   
HUD,Housing Choice Voucher Program,2017, $ 16.74 
HUD,Housing Choice Voucher Program,2018, $ 0.33 
HUD,Housing Choice Voucher Program,2019, $ 9.68 
HUD,Housing Choice Voucher Program,2020, $ 5.70 
HUD,Housing Choice Voucher Program1,2018, $ 4.63 
HUD,HUD Professional Standards,2020, $ 0.02 
HUD,Indian Community Development Block Grant (ICDBG) Program,2018, $ 0.11 
HUD,Indian Housing Block Grant (IHBG) Program,2017, $ 0.04 
HUD,Indian Housing Block Grant (IHBG) Program,2019, $ 0.01 
HUD,Investigations,2017, $ 0.03 
HUD,Lead Hazard Control and Lead Hazard Reduction Demonstration Grants,2019, $ 0.05 
HUD,Loss Mitigation,2017, $ 3.47 
HUD,Loss Mitigation,2019, $ 0.04 
HUD,Loss Mitigation,2020, $ 2.55 
HUD,Loss Mitigation1,2018, $ 5.85 
HUD,Mortgage Insurance for Cooperative Housing (Section 213),2017, $ 0.34 
HUD,Mortgage Insurance for One- to Four-Family Homes (Section 203(b))1,2018, $ 34.30 
HUD,Mortgage Insurance for Purchase or Refinance of Existing Multifamily Rental Housing (Sections 207 and 223(f)),2017, $ 18.22 
HUD,Mortgage Insurance for Purchase or Refinance of Existing Multifamily Rental Housing (Sections 207 and 223(f)),2018, $ 16.05 
HUD,Mortgage Insurance for Rental Housing for Urban Renewal and Concentrated Development Areas (Section 220),2019, $ -   
HUD,Multifamily Rental Housing for Moderate-Income Families (Section 221(d)(3) and (4)),2017, $ 0.12 
HUD,Multifamily Rental Housing for Moderate-Income Families (Section 221(d)(3) and (4)),2018, $ 4.61 
HUD,Multifamily Rental Housing for Moderate-Income Families (Section 221(d)(3) and (4)),2019, $ 0.21 
HUD,Multifamily Rental Housing for Moderate-Income Families (Section 221(d)(3) and (4))1,2018, $ 0.21 
HUD,Neighborhood Stabilization Program 2,2019, $ 0.27 
HUD,Neighborhood Stabilization Program 21,2018, $ 0.04 
HUD,"New Construction or Substantial Rehabilitation of Nursing Homes, Intermediate Care Facilities, Board and Care Homes, and",2019, $ -   
HUD,"New Construction or Substantial Rehabilitation of Nursing Homes, Intermediate Care Facilities, Board and Care Homes, and",2020, $ 0.51 
HUD,Office of Healthy Homes Lead Hazard Control - Lead Hazard Reduction,2021, $ -   
HUD,Office of Native American Programs - ONAP,2017, $ 0.03 
HUD,Office of Native American Programs - ONAP1,2018, $ 0.08 
HUD,Office of the Chief Procurement Officer - Payments to Federal Contractors - Transformation Initiative,2021, $ -   
HUD,Policy Development and Research - Research and Technology,2021, $ -   
HUD,Project-Based Voucher Program,2017, $ 0.85 
HUD,Project-Based Voucher Program,2018, $ 0.24 
HUD,Project-Based Voucher Program,2019, $ 0.29 
HUD,Project-Based Voucher Program,2020, $ 0.15 
HUD,Project-Based Voucher Program1,2018, $ 0.58 
HUD,Property Improvement Loan Insurance (Title I),2019, $ 0.56 
HUD,Public and Indian Housing - Choice Neighborhoods Initiative,2021, $ -   
HUD,Public and Indian Housing - Disaster - Federal Emergency Management Agency Disaster Housing Assistance Program,2021, $ -   
HUD,Public and Indian Housing - Family Self-Sufficiency Program,2021, $ -   
HUD,Public and Indian Housing - Indian Community Development Block Grants,2021, $ -   
HUD,Public and Indian Housing - Native American Housing Block Grants,2021, $ -   
HUD,Public and Indian Housing - Native Hawaiian Housing and Indian Home Loan Guarantee - Section 184 Program Account,2021, $ -   
HUD,Public and Indian Housing - Native Hawaiian Housing Block Grants,2021, $ -   
HUD,Public and Indian Housing - Permanent Supportive Housing,2021, $ -   
HUD,Public and Indian Housing - Public Housing Capital Fund,2017, $ 0.99 
HUD,Public and Indian Housing - Public Housing Capital Fund,2018, $ 3.98 
HUD,Public and Indian Housing - Public Housing Capital Fund,2019, $ 0.79 
HUD,Public and Indian Housing - Public Housing Capital Fund,2020, $ 0.09 
HUD,Public and Indian Housing - Public Housing Capital Fund,2021, $ 0.00 
HUD,Public and Indian Housing - Public Housing Operating Fund,2017, $ 14.97 
HUD,Public and Indian Housing - Public Housing Operating Fund,2018, $ 1.83 
HUD,Public and Indian Housing - Public Housing Operating Fund,2019, $ 0.77 
HUD,Public and Indian Housing - Public Housing Operating Fund,2020, $ 1.06 
HUD,Public and Indian Housing - Public Housing Operating Fund,2021, $ 0.28 
HUD,Public and Indian Housing - Rental Housing Assistance Program - Tenant Based Rental Assistance - Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance,2021, $ 5.67 
HUD,Public and Indian Housing - Revitalization of Severely Distressed Public Housing (HOPE VI),2021, $ -   
HUD,Public and Indian Housing - Title VI Indian Federal Guarantees,2021, $ -   
HUD,Public Housing Capital Fund1,2018, $ 0.78 
HUD,Rehabilitation Loan Mortgage Insurance (Section 203(k)),2020, $ 0.03 
HUD,Rehabilitation Loan Mortgage Insurance (Section 203(k))1,2018, $ 0.00 
HUD,Renewal of Section 8 Project-Based Rental Assistance,2017, $ 0.44 
HUD,Renewal of Section 8 Project-Based Rental Assistance,2018, $ 0.24 
HUD,Renewal of Section 8 Project-Based Rental Assistance,2019, $ 0.01 
HUD,REO - Section 204g Single Family Property Disposition Program,2017, $ 0.16 
HUD,Resident Opportunity and Self-Sufficiency (ROSS) Program,2018, $ 0.09 
HUD,Resident Opportunity and Self-Sufficiency (ROSS) Program,2019, $ 0.09 
HUD,Revitalization of Severely Distressed Public Housing (HOPE VI),2017, $ 0.03 
HUD,Salaries and Expenses,2021, $ -   
HUD,Secretary's Regulation of Fannie Mae and Freddie Mac,2017, $ 0.56 
HUD,Section 106 Housing Counseling Grants,2017, $ 3.79 
HUD,Section 106 Housing Counseling Grants,2019, $ 0.61 
HUD,Section 106 Housing Counseling Grants1,2018, $ 2.24 
HUD,Section 202 Supportive Housing for the Elderly,2017, $ 0.15 
HUD,Section 203b One-to-Four-Family Home Mortgage Insurance,2017, $ 145.49 
HUD,Section 203b One-to-Four-Family Home Mortgage Insurance,2018, $ 40.66 
HUD,Section 203b One-to-Four-Family Home Mortgage Insurance,2019, $ 83.72 
HUD,Section 203b One-to-Four-Family Home Mortgage Insurance,2020, $ 77.99 
HUD,Section 203k Rehabilitation Loan Insurance,2017, $ 0.03 
HUD,Section 234c Mortgage Insurance for Condominium Units,2017, $ 96.15 
HUD,Sex Offender,2019, $ 0.18 
HUD,Sex Offender,2020, $ 0.12 
HUD,Shelter Plus Care,2017, $ 0.10 
HUD,Shelter Plus Care (S+C),2019, $ 0.91 
HUD,Shelter Plus Care (S+C)1,2018, $ 0.74 
HUD,Single Family Property Disposition Program (Section 204(g)),2018, $ 0.19 
HUD,Single Family Property Disposition Program (Section 204(g)),2019, $ 0.11 
HUD,Single Family Property Disposition Program (Section 204(g)),2020, $ 1.10 
HUD,Single Family Property Disposition Program (Section 204(g))1,2018, $ 1.12 
HUD,State Administered CDBG,2020, $ 0.02 
HUD,Supportive Housing for Persons with Disabilities (Section 811)1,2018, $ 0.22 
HUD,Supportive Housing Program,2017, $ 0.06 
HUD,Supportive Housing Program,2020, $ 0.21 
HUD,Supportive Housing Program1,2018, $ 0.06 
IMLS,Agency Wide,2023, $ -   
IMLS,Agency Wide,2024, $ -   
MCC,614(g) of the Millennium Challenge Act of 2003,2021, $ -   
MCC,Administrative Expenses - Millennium Challenge Corporation,2021, $ -   
MCC,Agency Wide,2022, $ -   
MCC,Agency Wide,2023, $ -   
MCC,Agency Wide,2024, $ -   
MCC,Audit,2021, $ -   
MCC,Compact Assistance,2021, $ -   
MCC,Compact Development Funding,2021, $ -   
MCC,Due Diligence,2021, $ -   
MCC,Global Health,2021, $ -   
MCC,Threshold Programs,2021, $ -   
MSPB,Agency Wide,2022, $ -   
MSPB,Agency Wide,2023, $ -   
MSPB,Agency Wide,2024, $ -   
NARA,Administrative OH,2018, $ 0.00 
NARA,Administrative Overhead,2021, $ -   
NARA,Agency Services,2018, $ 0.01 
NARA,Agency Services,2021, $ -   
NARA,Agency Wide,2022, $ -   
NARA,Agency Wide,2023, $ -   
NARA,Agency Wide,2024, $ -   
NARA,"Legislative Archives, Presidential Libraries, and Museum Services",2021, $ -   
NARA,National Historical Publications and Records Commission (NHPRC) Grants,2021, $ -   
NARA,Office of the Inspector General - National Archives & Records Administration,2021, $ -   
NARA,Research Services,2021, $ -   
NASA,Advanced Cislunar and Surface Capabilities,2021, $ -   
NASA,Advanced Exploration Systems (AES),2021, $ -   
NASA,Aeronautics Strategy and Management,2021, $ -   
NASA,Aeronautics Test Program,2021, $ -   
NASA,Aerosciences Evaluation and Test Capabilities (AETC) Program,2021, $ -   
NASA,Agency Information Technology (IT) Services,2021, $ -   
NASA,Agency Management,2021, $ -   
NASA,Agency Tech Authority,2021, $ -   
NASA,Agency Technology and Innovation (AT&I),2021, $ -   
NASA,Agency Wide,2022, $ 1.44 
NASA,Agency Wide,2023, $ 4.17 
NASA,Agency Wide,2024, $ 2.92 
NASA,Airspace Systems,2021, $ -   
NASA,Ames Research Center (ARC),2021, $ -   
NASA,Armstrong Flight Reach Center (AFRC),2021, $ -   
NASA,Astrophysics Explorer,2021, $ -   
NASA,Astrophysics Research,2021, $ -   
NASA,Aviation Safety Program,2021, $ -   
NASA,Biological and Physical Sciences (BPS),2021, $ -   
NASA,Center Engineering Safety & Operations,2021, $ -   
NASA,Commercial Crew Program,2021, $ -   
NASA,Commercial Low Earth Orbit (LEO) Development Program,2021, $ -   
NASA,Communications Services,2021, $ -   
NASA,Discovery,2021, $ -   
NASA,Earth Science Data Systems (ESDS),2021, $ -   
NASA,Earth Science Research,2021, $ -   
NASA,Enhanced Use Lease Program,2021, $ -   
NASA,Environmental Compliance and Restoration,2021, $ -   
NASA,Exoplanet Exploration,2021, $ -   
NASA,Exploration Construction of Facilities (CoF),2021, $ -   
NASA,Exploration Ground Systems (EGS),2021, $ -   
NASA,Exploration Technology Development Program (ETDP),2021, $ -   
NASA,"False Certifications - NAS10-99005, NNK05LB04B",2020, $ 24.60 
NASA,False Certifications - NNG14WA44C,2020, $ 0.01 
NASA,Gateway,2021, $ -   
NASA,Glenn Research Center (GRC),2021, $ -   
NASA,Goddard Space Flight Center (GSFC),2021, $ -   
NASA,"Grant Fraud - NNX11AJ85G, NNX11AJ85G, NNX11AM93G, NNX12AC72G, NNX12AQ76G",2020, $ 0.03 
NASA,Human Landing System,2021, $ -   
NASA,Information Tech (IT),2021, $ -   
NASA,Infrastructure & Technical Capabilities,2021, $ -   
NASA,Inspector General (IG) Program,2021, $ -   
NASA,Institutional Construction of Facilities (CoF),2021, $ -   
NASA,Institutions and Management,2021, $ -   
NASA,Integrated Aviation Systems Program,2021, $ -   
NASA,Integrated System Research,2021, $ -   
NASA,Johnson Space Center (JSC),2021, $ -   
NASA,Kennedy Space Center (KSC),2021, $ -   
NASA,Langley Research Center (LaRC),2021, $ -   
NASA,Lunar Discovery and Exploration,2021, $ -   
NASA,Marshall Space Flight Center (MSFC),2021, $ -   
NASA,Mission Enabling Service,2021, $ -   
NASA,NASA,2017, $ 0.46 
NASA,NASA,2018, $ 0.46 
NASA,NASA Headquarters (NASA HQ) / Jet Propulsion Laboratory (JPL),2021, $ -   
NASA,NASA Shared Services Center (NSSC),2021, $ -   
NASA,National Historic Preservation,2021, $ -   
NASA,Office of Chief Financial Officer - Policy Grants Mission Design Lab (MDL) Sustained,2021, $ -   
NASA,Office of Inspector General - Office of Audits,2021, $ -   
NASA,Office of Inspector General - Office of Investigations,2021, $ 2.16 
NASA,Office of Procurement - Incurred Cost Mission Design Lab (MDL) Sustained,2021, $ -   
NASA,Planetary Defense,2021, $ -   
NASA,Product Substitution - NNK14MA75C,2020, $ 0.01 
NASA,Reimbursable (RMB) - ST Programmatic Reimbursables,2021, $ -   
NASA,Reimbursable (RMB) Aeronautics Research Mission Directorate (ARMD) Programmatic Reimbursables,2021, $ -   
NASA,Reimbursable (RMB) Exploration Systems Mission Directorate (ESMD) Institutional Reimbursables,2021, $ -   
NASA,Reimbursable (RMB) Office of Inspector General (OIG) Institution Reimbursables,2021, $ -   
NASA,Reimbursable (RMB) Science Mission Directorate (SCMD) Institutional Reimbursables,2021, $ -   
NASA,Reimbursable (RMB) Science Mission Directorate (SCMD) Programmatic Reimbursables,2021, $ -   
NASA,Reimbursable (RMB) Small Spacecraft Mission Service (SSMS) Institutional Reimbursables,2021, $ -   
NASA,Reimbursable (RMB) Space Operations Mission Directorate (SOMD) Institutional Reimbursables,2021, $ -   
NASA,Reimbursable (RMB) Space Operations Mission Directorate (SOMD) Programmatic Reimbursables,2021, $ -   
NASA,Reimbursable (RMB)- STEM Programmatic Reimbursables,2021, $ -   
NASA,SBA Cert Fraud - NNC06BA06B,2020, $ 0.49 
NASA,SBA Cert Fraud - NNK13CA90C,2020, $ 0.24 
NASA,SBIR Fraud - NNX09CA19C,2020, $ 0.15 
NASA,"SBIR Fraud - NNX12CD52P, NNX12CE39P, NNX13CD13C, NNX11CF13P, NNX10CC35P, NNX11CA18C, NNX07CA23P, NNX08CA06C, NNK06OM14C, NNK07MA09C",2020, $ 0.09 
NASA,SBIR Fraud - NNX13CJ45C,2020, $ 0.54 
NASA,Science Construction of Facilities (CoF),2021, $ -   
NASA,"Science, Technology, Engineering and Mathematics (STEM) Engagement",2021, $ -   
NASA,Space Operations Construction of Facilities (CoF),2021, $ -   
NASA,Space Shuttle Program,2021, $ -   
NASA,Space Technology Research & Development (STRD),2021, $ -   
NASA,Stennis Space Center (SSC),2021, $ -   
NASA,Transformative Aeronautics Concepts Program,2021, $ -   
NEA,Agency Wide,2022, $ -   
NEA,Agency Wide,2023, $ -   
NEA,Agency Wide,2024, $ 0.00 
NEH,Agency Wide,2022, $ -   
NEH,Agency Wide,2023, $ -   
NEH,Agency Wide,2024, $ -   
NLRB,Agency Wide,2022, $ -   
NLRB,Agency Wide,2023, $ -   
NLRB,Agency Wide,2024, $ -   
NRC,Agency Reporting,2021, $ -   
NRC,Agency Wide,2022, $ -   
NRC,Agency Wide,2023, $ -   
NRC,Agency Wide,2024, $ -   
NRC,Commercial Payments - Nuclear Regulatory Commission,2020, $ -   
NRC,Commercial Payments - Nuclear Regulatory Commission,2021, $ -   
NRC,Employee Payments - Nuclear Regulatory Commission,2020, $ -   
NRC,Employee Payments - Nuclear Regulatory Commission,2021, $ -   
NRC,Government Charge Cards,2020, $ -   
NRC,Government Charge Cards,2021, $ -   
NRC,Grants Payments - Nuclear Regulatory Commission,2020, $ -   
NRC,Grants Payments - Nuclear Regulatory Commission,2021, $ -   
NRC,Nuclear Regulatory Commission - 31000001,2018, $ -   
NRC,Payroll - Nuclear Regulatory Commission,2020, $ -   
NRC,Payroll - Nuclear Regulatory Commission,2021, $ -   
NSF,Agency Wide,2022, $ 2.00 
NSF,Agency Wide,2023, $ 4.23 
NSF,Agency Wide,2024, $ 1.75 
NSF,Contracts and Individual Payments,2018, $ -   
NSF,Contracts and Individual Payments,2021, $ -   
NSF,Grants and Cooperative Agreements,2018, $ 5.22 
NSF,Grants and Cooperative Agreements,2019, $ 2.92 
NSF,Grants and Cooperative Agreements,2020, $ 5.23 
NSF,Grants and Cooperative Agreements,2021, $ 5.17 
NSF,NSF,2017, $ 4.17 
NSF,Payments to Employees,2018, $ -   
NSF,Payments to Employees,2021, $ -   
NSF,Purchase Cards,2018, $ -   
NSF,Purchase Cards,2021, $ -   
NTSB,NTSB Operations,2021, $ -   
OGE,Agency Wide,2022, $ -   
OGE,Agency Wide,2023, $ -   
OGE,Agency Wide,2024, $ -   
OPM,Agency Wide,2022, $ 37.50 
OPM,Agency Wide,2023, $ 4.07 
OPM,Agency Wide,2024, $ 8.42 
OPM,Background Investigations,2018, $ 0.38 
OPM,Background Investigations,2019, $ 0.61 
OPM,Federal Employees Health Benefits,2018, $ 17.80 
OPM,Federal Employees Health Benefits,2019, $ 36.25 
OPM,Federal Employees Health Benefits,2020, $ 15.40 
OPM,Federal Employes Health Benefits,2021, $ 17.65 
OPM,Federal Retirement Services,2020, $ 5.37 
OPM,Federal Retirement Services,2021, $ 2.03 
OPM,Healthcare (FEHBP),2017, $ 10.94 
OPM,Merit System Accountabilty & Compliance,2019, $ 0.02 
OPM,National Background Investigations Bureau,2020, $ 0.28 
OPM,NBIB,2017, $ 0.26 
OPM,Office of Inspector General,2018, $ -   
OPM,OIG,2017, $ 0.04 
OPM,Retirement,2017, $ 1.27 
OPM,Total Retirement Program,2018, $ 3.69 
OPM,Total Retirement Program,2019, $ 1.95 
OSC,Agency Wide,2022, $ -   
OSC,Agency Wide,2023, $ -   
OSC,Agency Wide,2024, $ -   
OSHRC,Agency Wide,2022, $ -   
PBGC,Agency Wide,2022, $ -   
PBGC,Agency Wide,2023, $ -   
PBGC,Agency Wide,2024, $ -   
PC,Agency Wide,2022, $ -   
PC,Agency Wide,2023, $ -   
PCLOB,Agency Wide,2022, $ -   
PCLOB,Agency Wide,2023, $ -   
PCLOB,Agency Wide,2024, $ -   
RRB,Agency Wide,2022, $ 1.02 
RRB,Agency Wide,2023, $ 0.89 
RRB,Agency Wide,2024, $ 1.13 
RRB,Employee Payments - Railroad Retirement Board,2021, $ -   
RRB,Health Care Fraud Including Railroad Medicare,2017, $ 144.87 
RRB,Medicare Including Railroad Medicare,2020, $ 13.90 
RRB,Medicare Including Railroad Medicare*,2018, $ 170.57 
RRB,Medicare Including Railroad Medicare**,2019, $ 103.58 
RRB,Railroad Medicare,2017, $ 0.07 
RRB,Railroad Retirement Act,2017, $ 1.92 
RRB,Railroad Retirement Act,2018, $ 3.43 
RRB,Railroad Retirement Act,2019, $ 3.28 
RRB,Railroad Retirement Act,2020, $ 0.74 
RRB,Railroad Retirement Act,2021, $ 2.55 
RRB,Railroad Unemployment Insurance Act,2017, $ 0.21 
RRB,Railroad Unemployment Insurance Act,2018, $ 0.37 
RRB,Railroad Unemployment Insurance Act,2019, $ 0.50 
RRB,Railroad Unemployment Insurance Act,2020, $ 0.33 
RRB,Railroad Unemployment Insurance Act,2021, $ 0.47 
RRB,Vendor Payments - Railroad Retirement Board,2021, $ -   
SBA,7(a) Loan Guarantees Approvals,2021, $ -   
SBA,7(a) Loan Guarantees Purchases,2021, $ -   
